time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.122593040526056e-08,-8.273066716265386e-08,10.00150771677377,6.283002541080382,6.283050944959875,0.0,8.329918998978783e-06,-1.0623049830588667e-05,0.050255834641803956,-0.00996644651359364,-0.00714370437905168,0.0,422.1903987552611,421.57374639379174,420.1909691230904,419.32629604941656
0.12000000000000001,4.986959629454135e-06,-6.6897111336816075e-06,10.00919685867135,6.282858036856194,6.282928406314806,0.0,0.00018418201892949395,-0.00024704959303190684,0.2060328395484071,0.009538165982803343,0.006589430819345125,0.0,453.9836308958146,455.0840581430976,453.20512305935944,454.7698822933249
0.18,1.91785053588505e-05,-2.589294246357484e-05,10.023355118515635,0.00010167474659183995,0.0005371980956470068,0.0,0.0002293068827380191,-0.00034449326791130135,0.2658966177083195,0.0018823551733556715,0.023999823510839215,0.0,422.92486870733427,424.42144243560807,424.7130071820864,424.0558869192474
0.23999999999999996,1.698621130672668e-05,-4.339020797823647e-05,10.041251088069924,0.0008367839738445682,0.002184525935720494,0.0,-0.00045251732097823877,-0.0001924132798862517,0.3306185013382394,0.027515297602434503,0.03359804783802549,0.0,423.9846639180638,424.8085811833046,425.79761762840275,427.9844537179855
0.3,-7.544641434587244e-05,-2.6177054592367645e-05,10.06868547718,0.0021999180623888392,0.004666338476384979,0.0,-0.002912874732487695,0.0009568888452837442,0.5837649005189909,0.010798408822928008,0.05356779964867621,0.0,482.03448437538293,483.54169852867676,484.25231696944627,482.99338971240826
0.36000000000000004,-0.0003650695714218285,8.24671710605564e-05,10.10785800108607,0.0033479774517948258,0.008010859006696514,0.0,-0.007094196342987399,0.0027651171922568533,0.7219060141020361,0.03204381691171032,0.05976836861421462,0.0,448.7099749398469,449.2150492929494,448.6101892111028,450.33170650839753
0.4200000000000001,-0.0009773222508847885,0.00032854048933474535,10.155027413800433,0.005672219149039925,0.0115613359185609,0.0,-0.013692493624236303,0.005665236377198811,0.8503161016122893,0.04956369865487695,0.057960392892146766,0.0,447.5079630996408,447.363221846826,444.6179228724651,446.0514982932677
0.48000000000000015,-0.0021099006264718354,0.0008270288279635133,10.213847767736723,0.008776489962859735,0.015260084440235744,0.0,-0.024509475518565874,0.011331944578831965,1.1101382207487371,0.05576425723091607,0.06814859776126798,0.0,485.2404293634543,486.0069001335423,485.6386268398652,486.104903626312
0.5400000000000001,-0.00388613362717872,0.0016862021199056292,10.281881938223185,0.01201601709373179,0.01926967606715113,0.0,-0.035079245121660114,0.017617156345302865,1.1576106588444202,0.05019039863543899,0.06404332895900247,0.0,421.16426931229637,420.812694775857,421.65453873822133,421.1748943848591
0.6000000000000002,-0.006406435393225242,0.003005163468662953,10.354462789544002,0.015525755854550738,0.023313876830901137,0.0,-0.04933401058756517,0.02668507278071219,1.2616284421825086,0.07136415737603287,0.07339191893644137,0.0,440.1741536821577,440.9504595049263,437.73230901634145,439.49293785129476
0.6600000000000003,-0.009911442116930678,0.004974627574384363,10.435077597890427,0.01972728828429826,0.02777777224347222,0.0,-0.06798918089292944,0.03943317625763548,1.4253208200160048,0.06720566636358045,0.07633751170940649,0.0,457.95101108969277,458.1893728250764,458.7762245125201,458.4495260594616
0.7200000000000003,-0.014538712378964178,0.007732634484492938,10.522046542884958,0.024387697087807858,0.032910211565491565,0.0,-0.08671394686280288,0.05291406628161326,1.4735591270568618,0.09303805945293639,0.09947540285089614,0.0,421.2105233668155,423.2128271068788,421.362969933365,423.5949946759255
0.7800000000000004,-0.0204933225542107,0.011469458950197338,10.614888640247427,0.030317467162191747,0.038659896493218326,0.0,-0.11240667561398447,0.0722706188520239,1.620938746287229,0.10843007744360755,0.08730532747999056,0.0,454.5800699708094,453.6114453469916,453.3421246829377,454.5851609744986
0.8400000000000004,-0.028092331654580496,0.01648493126438759,10.716029476897441,0.03679823454386799,0.043652140919443916,0.0,-0.14143216366002867,0.09559529966202998,1.7501854285355902,0.10716562421331248,0.07339508501984451,0.0,448.3002012858995,447.17410826972707,450.2240735561585,450.1318671440296
0.9000000000000005,-0.03765333513646131,0.023137447535494248,10.827505184235081,0.043265211480631116,0.048570299625863456,0.0,-0.17781267319502472,0.12690828004814153,1.9652662108315002,0.10898884756304947,0.09516083666560378,0.0,474.17140864349386,475.8452462375784,475.60528223688965,475.7542683704912
0.9600000000000005,-0.049401800145565423,0.03171763877672623,10.94946251808994,0.0498623374756102,0.05474190653445987,0.0,-0.21443150990908427,0.15978885859235142,2.0996691517414625,0.1118105850739138,0.11497593285975742,0.0,450.80072702414367,452.40776235449687,452.16942649011787,452.4071206259035
1.0200000000000005,-0.06356604724221221,0.04248737715192609,11.080901732444339,0.056112545196900676,0.06138720206508097,0.0,-0.25846614743158214,0.19992952023907554,2.2811994081162967,0.08098988265687498,0.10059892457518957,0.0,467.1157285090248,466.00341481221756,468.50495619682385,466.111047980724
1.0800000000000005,-0.08030548226868776,0.055603862763245436,11.219751130152723,0.06046337232069643,0.06736051914958097,0.0,-0.3000900426957399,0.23773262973006778,2.3469055099692673,0.044444810362964694,0.09738355847196814,0.0,432.43773037565774,432.1756445151507,432.92470557796673,429.8427232700031
1.1400000000000006,-0.09980531209699431,0.07119444336237711,11.364652099744335,0.06297163914583592,0.07341745995297,0.0,-0.35052551410829813,0.2822092648377665,2.482763929393939,0.03591964022083946,0.1072615137558109,0.0,454.45608874848676,455.25564125077904,454.34467150970835,453.6615706456997
